NinjaScript File,Error,Code,Line,Column,
NinjaAddOnTPO.cs,Invalid token ')' in class struct or interface member declaration,CS1519,72,56,
NinjaAddOnTPO.cs,Invalid token 'if' in class struct or interface member declaration,CS1519,74,1,
NinjaAddOnTPO.cs,Invalid token '!=' in class struct or interface member declaration,CS1519,74,7,
NinjaAddOnTPO.cs,Invalid token '(' in class struct or interface member declaration,CS1519,76,13,
NinjaAddOnTPO.cs,Method must have a return type,CS1520,76,18,
NinjaAddOnTPO.cs,Type expected,CS1031,76,25,
NinjaAddOnTPO.cs,Invalid token '=' in class struct or interface member declaration,CS1519,78,12,
NinjaAddOnTPO.cs,Method must have a return type,CS1520,78,18,
NinjaAddOnTPO.cs,Invalid token '(' in class struct or interface member declaration,CS1519,79,16,
NinjaAddOnTPO.cs,A namespace cannot directly contain members such as fields or methods,CS0116,80,6,
NinjaAddOnTPO.cs,A namespace cannot directly contain members such as fields or methods,CS0116,82,1,
NinjaAddOnTPO.cs,Expected class delegate enum interface or struct,CS1518,84,14,
NinjaAddOnTPO.cs,Type or namespace definition or end-of-file expected,CS1022,86,1,
