NinjaScript File,Error,Code,Line,Column,
NinjaAddOnTPO.cs,) expected,CS1026,124,32,
NinjaAddOnTPO.cs,; expected,CS1002,124,45,
NinjaAddOnTPO.cs,; expected,CS1002,124,48,
NinjaAddOnTPO.cs,; expected,CS1002,124,58,
NinjaAddOnTPO.cs,; expected,CS1002,124,61,
NinjaAddOnTPO.cs,; expected,CS1002,124,65,
NinjaAddOnTPO.cs,; expected,CS1002,124,68,
NinjaAddOnTPO.cs,; expected,CS1002,124,71,
NinjaAddOnTPO.cs,; expected,CS1002,124,73,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,124,73,
NinjaAddOnTPO.cs,) expected,CS1026,125,32,
NinjaAddOnTPO.cs,; expected,CS1002,125,38,
NinjaAddOnTPO.cs,; expected,CS1002,125,41,
NinjaAddOnTPO.cs,; expected,CS1002,125,67,
NinjaAddOnTPO.cs,; expected,CS1002,125,80,
NinjaAddOnTPO.cs,Invalid expression term ':',CS1525,125,80,
NinjaAddOnTPO.cs,; expected,CS1002,125,81,
NinjaAddOnTPO.cs,; expected,CS1002,125,86,
NinjaAddOnTPO.cs,; expected,CS1002,125,87,
NinjaAddOnTPO.cs,; expected,CS1002,125,99,
NinjaAddOnTPO.cs,; expected,CS1002,125,101,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,125,101,
NinjaAddOnTPO.cs,) expected,CS1026,126,32,
NinjaAddOnTPO.cs,; expected,CS1002,126,37,
NinjaAddOnTPO.cs,; expected,CS1002,126,40,
NinjaAddOnTPO.cs,; expected,CS1002,126,65,
NinjaAddOnTPO.cs,; expected,CS1002,126,78,
NinjaAddOnTPO.cs,Invalid expression term ':',CS1525,126,78,
NinjaAddOnTPO.cs,; expected,CS1002,126,79,
NinjaAddOnTPO.cs,; expected,CS1002,126,84,
NinjaAddOnTPO.cs,; expected,CS1002,126,96,
NinjaAddOnTPO.cs,; expected,CS1002,126,98,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,126,98,
NinjaAddOnTPO.cs,) expected,CS1026,127,32,
NinjaAddOnTPO.cs,; expected,CS1002,127,41,
NinjaAddOnTPO.cs,; expected,CS1002,127,44,
NinjaAddOnTPO.cs,; expected,CS1002,127,75,
NinjaAddOnTPO.cs,; expected,CS1002,127,77,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,127,77,
NinjaAddOnTPO.cs,) expected,CS1026,128,32,
NinjaAddOnTPO.cs,; expected,CS1002,128,42,
NinjaAddOnTPO.cs,; expected,CS1002,128,46,
NinjaAddOnTPO.cs,; expected,CS1002,128,52,
NinjaAddOnTPO.cs,; expected,CS1002,128,55,
NinjaAddOnTPO.cs,; expected,CS1002,128,83,
NinjaAddOnTPO.cs,; expected,CS1002,128,86,
NinjaAddOnTPO.cs,; expected,CS1002,128,94,
NinjaAddOnTPO.cs,; expected,CS1002,128,97,
NinjaAddOnTPO.cs,; expected,CS1002,128,127,
NinjaAddOnTPO.cs,; expected,CS1002,128,130,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,128,130,
NinjaAddOnTPO.cs,) expected,CS1026,129,32,
NinjaAddOnTPO.cs,; expected,CS1002,129,35,
NinjaAddOnTPO.cs,; expected,CS1002,129,39,
NinjaAddOnTPO.cs,; expected,CS1002,129,40,
NinjaAddOnTPO.cs,; expected,CS1002,129,43,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,129,43,
NinjaAddOnTPO.cs,) expected,CS1026,129,81,
NinjaAddOnTPO.cs,; expected,CS1002,129,82,
NinjaAddOnTPO.cs,; expected,CS1002,129,85,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,129,85,
NinjaAddOnTPO.cs,) expected,CS1026,129,123,
NinjaAddOnTPO.cs,; expected,CS1002,129,124,
NinjaAddOnTPO.cs,; expected,CS1002,129,127,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,129,127,
NinjaAddOnTPO.cs,) expected,CS1026,129,165,
NinjaAddOnTPO.cs,; expected,CS1002,129,166,
NinjaAddOnTPO.cs,; expected,CS1002,129,169,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,129,169,
NinjaAddOnTPO.cs,) expected,CS1026,130,32,
NinjaAddOnTPO.cs,; expected,CS1002,130,39,
NinjaAddOnTPO.cs,; expected,CS1002,130,43,
NinjaAddOnTPO.cs,; expected,CS1002,130,51,
NinjaAddOnTPO.cs,; expected,CS1002,130,54,
NinjaAddOnTPO.cs,; expected,CS1002,130,57,
NinjaAddOnTPO.cs,; expected,CS1002,130,60,
NinjaAddOnTPO.cs,; expected,CS1002,130,72,
NinjaAddOnTPO.cs,; expected,CS1002,130,75,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,130,75,
NinjaAddOnTPO.cs,) expected,CS1026,130,113,
NinjaAddOnTPO.cs,; expected,CS1002,130,116,
NinjaAddOnTPO.cs,; expected,CS1002,130,120,
NinjaAddOnTPO.cs,; expected,CS1002,130,123,
NinjaAddOnTPO.cs,; expected,CS1002,130,126,
NinjaAddOnTPO.cs,; expected,CS1002,130,159,
NinjaAddOnTPO.cs,; expected,CS1002,130,162,
NinjaAddOnTPO.cs,; expected,CS1002,130,167,
NinjaAddOnTPO.cs,; expected,CS1002,130,170,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,130,170,
NinjaAddOnTPO.cs,) expected,CS1026,130,210,
NinjaAddOnTPO.cs,; expected,CS1002,130,217,
NinjaAddOnTPO.cs,; expected,CS1002,130,221,
NinjaAddOnTPO.cs,; expected,CS1002,130,229,
NinjaAddOnTPO.cs,; expected,CS1002,130,232,
NinjaAddOnTPO.cs,; expected,CS1002,130,270,
NinjaAddOnTPO.cs,; expected,CS1002,130,273,
NinjaAddOnTPO.cs,; expected,CS1002,130,277,
NinjaAddOnTPO.cs,; expected,CS1002,130,280,
NinjaAddOnTPO.cs,; expected,CS1002,130,314,
NinjaAddOnTPO.cs,; expected,CS1002,130,318,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,130,318,
NinjaAddOnTPO.cs,) expected,CS1026,131,32,
NinjaAddOnTPO.cs,; expected,CS1002,131,34,
NinjaAddOnTPO.cs,; expected,CS1002,131,38,
NinjaAddOnTPO.cs,; expected,CS1002,131,42,
NinjaAddOnTPO.cs,; expected,CS1002,131,45,
NinjaAddOnTPO.cs,Invalid expression term ')',CS1525,131,45,
NinjaAddOnTPO.cs,) expected,CS1026,131,117,
NinjaAddOnTPO.cs,; expected,CS1002,131,120,
