Time,Category,Message,
9/28/2025 9:25:50 PM,Default,There was a problem subscribing to tick data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 9:25:50 PM,Default,There was a problem subscribing to market data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 9:25:50 PM,Default,There was a problem subscribing to tick data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 9:25:50 PM,Default,There was a problem subscribing to market data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 9:25:50 PM,Default,There was a problem subscribing to tick data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 9:25:50 PM,Default,There was a problem subscribing to market data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 9:25:49 PM,NinjaScript,Global MainThreadDispatcher UnhandledException: System.Windows.Threading.Dispatcher. Exception:    at System.Windows.Threading.Dispatcher.VerifyAccess()    at System.Windows.DependencyObject.SetValue(DependencyProperty dp Object value)    at NinjaTrader.NinjaScript.AddOns.NinjaAddOnTPO.<>c__DisplayClass8.<UpdateHeader>b__7()    at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback Object args Int32 numArgs)    at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source Delegate callback Object args Int32 numArgs Delegate catchHandler),
9/28/2025 9:25:49 PM,Default,Unhandled exception: The calling thread cannot access this object because a different thread owns it.,
9/28/2025 9:25:03 PM,Default,There was a problem subscribing to tick data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 9:25:03 PM,Default,There was a problem subscribing to market data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 9:25:03 PM,Default,There was a problem subscribing to tick data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 9:25:03 PM,Default,There was a problem subscribing to market data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 9:25:03 PM,Default,There was a problem subscribing to tick data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 9:25:03 PM,Default,There was a problem subscribing to market data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 9:25:02 PM,NinjaScript,Global MainThreadDispatcher UnhandledException: System.Windows.Threading.Dispatcher. Exception:    at System.Windows.Threading.Dispatcher.VerifyAccess()    at System.Windows.DependencyObject.SetValue(DependencyProperty dp Object value)    at NinjaTrader.NinjaScript.AddOns.NinjaAddOnTPO.<>c__DisplayClass8.<UpdateHeader>b__7()    at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback Object args Int32 numArgs)    at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source Delegate callback Object args Int32 numArgs Delegate catchHandler),
9/28/2025 9:25:02 PM,Default,Unhandled exception: The calling thread cannot access this object because a different thread owns it.,
9/28/2025 9:24:56 PM,NinjaScript,Replikanto: Cleaning up Replikanto tab '030F0B8E'...,
9/28/2025 9:24:44 PM,NinjaScript,Global MainThreadDispatcher UnhandledException: System.Windows.Threading.Dispatcher. Exception:    at System.Windows.Threading.Dispatcher.VerifyAccess()    at System.Windows.DependencyObject.SetValue(DependencyProperty dp Object value)    at NinjaTrader.NinjaScript.AddOns.NinjaAddOnTPO.<>c__DisplayClass8.<UpdateHeader>b__7()    at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback Object args Int32 numArgs)    at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source Delegate callback Object args Int32 numArgs Delegate catchHandler),
9/28/2025 9:24:44 PM,Default,Unhandled exception: The calling thread cannot access this object because a different thread owns it.,
9/28/2025 9:24:19 PM,Default,There was a problem subscribing to market data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 9:24:19 PM,Default,There was a problem subscribing to tick data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 9:24:19 PM,Default,There was a problem subscribing to market data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 9:24:19 PM,Default,There was a problem subscribing to tick data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 9:24:19 PM,Default,There was a problem subscribing to tick data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 9:24:19 PM,Default,There was a problem subscribing to market data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 9:24:18 PM,NinjaScript,Global MainThreadDispatcher UnhandledException: System.Windows.Threading.Dispatcher. Exception:    at System.Windows.Threading.Dispatcher.VerifyAccess()    at System.Windows.DependencyObject.SetValue(DependencyProperty dp Object value)    at NinjaTrader.NinjaScript.AddOns.NinjaAddOnTPO.<>c__DisplayClass8.<UpdateHeader>b__7()    at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback Object args Int32 numArgs)    at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source Delegate callback Object args Int32 numArgs Delegate catchHandler),
