NinjaScript File,Error,Code,Line,Column,
TpoUiWindowV252.cs,; expected,CS1002,76,50,
TpoUiWindowV252.cs,Invalid token '{' in class struct or interface member declaration,CS1519,76,67,
TpoUiWindowV252.cs,Invalid token '=' in class struct or interface member declaration,CS1519,76,74,
TpoUiWindowV252.cs,Invalid token '' in class struct or interface member declaration,CS1519,76,80,
TpoUiWindowV252.cs,Invalid token '=' in class struct or interface member declaration,CS1519,76,93,
TpoUiWindowV252.cs,Invalid token '' in class struct or interface member declaration,CS1519,76,115,
TpoUiWindowV252.cs,Invalid token '=' in class struct or interface member declaration,CS1519,76,128,
TpoUiWindowV252.cs,Invalid token '' in class struct or interface member declaration,CS1519,76,143,
TpoUiWindowV252.cs,Invalid token '=' in class struct or interface member declaration,CS1519,76,154,
TpoUiWindowV252.cs,Expected class delegate enum interface or struct,CS1518,77,17,
TpoUiWindowV252.cs,Expected class delegate enum interface or struct,CS1518,77,48,
TpoUiWindowV252.cs,Expected class delegate enum interface or struct,CS1518,78,17,
TpoUiWindowV252.cs,Expected class delegate enum interface or struct,CS1518,78,76,
TpoUiWindowV252.cs,Expected class delegate enum interface or struct,CS1518,80,16,
TpoUiWindowV252.cs,Expected class delegate enum interface or struct,CS1518,87,16,
TpoUiWindowV252.cs,Expected class delegate enum interface or struct,CS1518,104,16,
TpoUiWindowV252.cs,Expected class delegate enum interface or struct,CS1518,112,17,
TpoUiWindowV252.cs,Type or namespace definition or end-of-file expected,CS1022,123,1,
